тип дорог;Кодификатор;Наименование дороги;Координата начала (y);Координата начала (x);Координата окончания (y);Координата окончания (x);
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Верхний Любаж – Поныри – Игишево;38 ОП МЗ 38Н-030;36.041049;52.265431;36.027949;52.297623;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Верхний Любаж – Поныри – Игишево – Теплое;38 ОП МЗ 38Н-031;36.021829;52.272834;36.015721 ;52.268958;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Верхний Любаж – Поныри – памятник истории республиканского значения;38 ОП МЗ 38Н-032;36.206434;52.280331;36.218743;52.272840;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Поныри – памятник саперам – 1-е Поныри;38 ОП МЗ 38Н-034;36.290519;52.321852;36.266283;52.325964;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Верхний Любаж – Поныри – Дерловка;38 ОП МЗ 38Н-035;36.218018;52.284339;36.239131;52.275862;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Верхний Любаж – Поныри – Карпуневка;38 ОП МЗ 38Н-036;36.241637;52.295901;36.234813;52.289112;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Верхний Любаж – Поныри – Снова;38 ОП МЗ 38Н-038;36.217926;52.284375;36.190508;52.301043;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Верхний Любаж – Поныри – Снова;38 ОП МЗ 38Н-038 ответвление;36.217926;52.284375;36.192654;52.302725;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Возы – Степь – Красный Октябрь с подъездом к с. Верхнесмородино;38 ОП МЗ 38Н-043;36.278254;52.184472;36.234609;52.236237;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Возы – Степь – Красный Октябрь с подъездом к с. Верхнесмородино;38 ОП МЗ 38Н-043 ответвление;36.278254;52.184472;36.220997;52.210374;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Возы – Степь – Красный Октябрь с подъездом к с. Верхнесмородино;38 ОП МЗ 38Н-043 ответвление;36.278254;52.184472;36.207606;52.201569;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Возы – Степь – Красный Октябрь – Нижнесмородино;38 ОП МЗ 38Н-044;36.249081;52.211406;36.234243;52.185327;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Поныри – Березовец;38 ОП МЗ 38Н-387;36.341490;52.237206;36.362349;52.254254;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Поныри – Бобровка – Цуриково;38 ОП МЗ 38Н-388;36.362129;52.206205;36.480800;52.212012;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Поныри – Брусовое;38 ОП МЗ 38Н-389;36.354674;52.217790;36.339160;52.186659;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск –Поныри – Возы – Становое – Верхний Любаж – Поныри;38 ОП МЗ 38Н-392;36.322093;52.166562;36.123335;52.256518;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск –Поныри – Возы – Становое – Верхний Любаж – Поныри;38 ОП МЗ 38Н-392 ответвление;36.322093;52.166562;36.111309;52.192505;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Поныри – Возы – Становое – Верхний Любаж – Поныри – Гнилое;38 ОП МЗ 38Н-393;36.230605;52.158508;36.234396;52.148071;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Поныри – Возы – Становое – Верхний Любаж – Поныри – Верхнесмородино;38 ОП МЗ 38Н-394;36.274536;52.176363;36.241170;52.187245;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Поныри – Горяйново;38 ОП МЗ 38Н-395;36.362129;52.206205;36.411268;52.172751;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Поныри – Горяйново – Воробьевка;38 ОП МЗ 38Н-396;36.406798;52.174026;36.440209;52.171640;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Поныри – Горяйново – Маньшино;38 ОП МЗ 38Н-397;36.421159;52.176602;36.436480;52.200502;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Поныри – памятник саперам;38 ОП МЗ 38Н-539;36.290265;52.316967;36.345986;52.344848;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Поныри – Первомайское ;38 ОП МЗ 38Н-540;36.305229;52.312710;36.426840;52.278091;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Подъездная дорога к Мемориальному комплексу;38 ОП МЗ 38Н-823;36.068252;52.263036;36.064326;52.234724;
